description,name,industry,headquarters,phoneNumber,contact,ein,401kPlan
,U.S. Bancorp,Commercial Banking,"4000 WEST BROADWAY AVENUE, ROBBINSDALE, MN 55422",763-971-1128,,41-0255900,"{""name"":""U.S. BANK 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Securitas Security Services,Security,"4330 PARK TERRACE DRIVE, WESTLAKE VILLAGE, CA 913614630",818-706-6800,RITA MOORE,71-0912217,"{""name"":""SECURITAS SECURITY SERVICES USA INCENTIVE SAVINGS AND RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,Providence Health & Services,Hospitals,"2001 LIND AVE SW, RENTON, WA 98057",888-687-3753,REBECCA BROWN,51-0216586,"{""name"":""PROVIDENCE HEALTH & SERVICES 403(B) VALUE PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,State Farm Mutual,Insurance,"ONE STATE FARM PLAZA, BLOOMINGTON, IL 61710",309-735-0334,,37-0533100,"{""name"":""STATE FARM 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Mayo Clinic,"Offices of Physicians, Mental Health Specialists","200 FIRST STREET SW, ROCHESTER, MN 55905",507-284-0126,WILLIAM BROWN,41-6011702,"{""name"":""MAYO 403(B) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Delta Air Lines,Airline,"1030 DELTA BOULEVARD DEPARTMENT 216, ATLANTA, GA 30354",404-715-2600,GREG TAHVONEN,58-0218548,"{""name"":""DELTA 401(K) RETIREMENT PLAN (FORMERLY THE DELTA FAMILY CARE SAVINGS PLAN)"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Motion Picture Industry Pension,Motion Pictures,"11365 VENTURA BLVD, STUDIO CITY, CA 91604",818-769-0007,MILLER KAPLAN ARASE LLP,95-0030749,"{""name"":""MOTION PICTURE INDUSTRY INDIVIDUAL ACCOUNT PLAN"",""provider"":"""",""websiteURL"":""https://www.prudential.com/login/"",""phoneNumber"":""1-800-621-1089"",""faxNumber"":""866-439-8602"",""hoursOfOperation"":""Monday - Friday: 8am - 6pm EST, Automated voice response system available 24/7"",""address"":""30 Scranton Office Park, Scranton, PA, 18507""}"
,"Oasis Outsourcing Holdings, Inc.",Employment Placement,"2054 VISTA PARKWAY, WEST PALM BEACH, FL 33411",888-627-4735,PAUL FORLENZA,65-0731524,"{""name"":""OASIS RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""n/a"",""phoneNumber"":""800-554-1802"",""faxNumber"":""Each plan has a company-specific fax number found through the ADP Totalsource 401(k) login link"",""hoursOfOperation"":""Unknown""}"
,Raytheon,,"870 WINTER STREET, WALTHAM, MA 024511449",781-522-5821,KELLY B. LAPPIN,95-1778500,"{""name"":""RAYTHEON SAVINGS AND INVESTMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,UPMC,,"600 GRANT STREET, PITTSBURGH, PA 15219",412-647-7905,PATRICIA STEPHENSON,25-1423657,"{""name"":""UPMC 401(A) RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,"Kohl's Department Stores, Inc.",,"N56 W 17000 RIDGEWOOD DRIVE, MENOMONEE FALLS, WI 53051",844-849-1833,,13-3357362,"{""name"":""KOHL'S DEPARTMENT STORES INC. SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Google,,"1600 AMPHITHEATRE PARKWAY, MOUNTAIN VIEW, CA 940431351",650-623-4000,DANIEL MARAFINO,77-0493581,"{""name"":""GOOGLE LLC 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Oracle,Computer Systems Design Services,"500 ORACLE PARKWAY M/S 5OP8, BENEFITS, REDWOOD SHORES, CA 94065",650-506-7000,PETER SHOTT,54-2185193,"{""name"":""ORACLE CORPORATION 401(K) SAVINGS AND INVESTMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Ford Motor Company,,"1 AMERICAN ROAD FORD WHQ, ROOM 612, DEARBORN, MI 48126",313-322-5012,ROBIN WOOD,38-0549190,"{""name"":""FORD RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,"General Motors, LLC",,"300 RENAISSANCE CENTER, DETROIT, MI 482653000",313-665-4085,CHRISTINE GONYEA,27-0383222,"{""name"":""THE GENERAL MOTORS PERSONAL SAVINGS PLAN FOR HOURLY-RATE EMPLOYEES IN THE UNITED STATES"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Ernst & Young,Offices of Certified Public Accountants,"200 PLAZA DRIVE, SECAUCUS, NJ 07094",201-872-2200,MICHAEL J. SPICCI,34-6565596,"{""name"":""ERNST & YOUNG RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Sutter Health,,"2200 RIVER PLAZA DR, SACRAMENTO, CA 958334134",916-561-6543,TRACY MESSINEO,94-2788907,"{""name"":""SUTTER HEALTH 403(B) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Anthem,Insurance,"220 VIRGINIA AVENUE, INDIANAPOLIS, IN 46204",844-203-3255,SEAN GRAY,11-3713086,"{""name"":""ANTHEM 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,H. E. Butt Grocery Company,Supermarkets and Other Grocery Retailers (except Convenience Retailers),"CORPORATE TAX - CYPRESS 5 PO BOX 839999, SAN ANTONIO, TX 782833999",210-938-8000,MEGAN ROONEY,74-0537175,"{""name"":""H-E-B SAVINGS & RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://www5.benefitcenter.com/login/v3/pub/logonlw.jsp?client=conduent&TYPE=33554433&REALMOID=06-44660747-59dd-4219-bdd5-6f04b102ed50&GUID=&SMAUTHREASON=0&METHOD=GET&SMAGENTNAME=-SM-nsqrNe52rvEcpVyTVG5BxOUn2n9Zk0qvBVxWRKw21XX6UkgoocWWEIZ1KnyXMNfQzpTbGk%2f3hUlg5nec2e8pjLamKgKKEKMS&TARGET=-SM-https%3a%2f%2fwww5%2ebenefitcenter%2ecom%2fconduent"",""phoneNumber"":""888-471-2271"",""faxNumber"":""Each plan has a company-specific fax number found through the Conduent 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm ET""}"
,HY-VEE Inc.,Supermarkets and Other Grocery Retailers (except Convenience Retailers),"5820 WESTOWN PARKWAY, WEST DES MOINES, IA 50266",515-267-2800,MICHAEL SKOKAN,42-0325638,"{""name"":""THE HY-VEE AND AFFILIATES 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://login.principal.com/login"",""phoneNumber"":""800-547-7754"",""faxNumber"":""866-704-3481"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST, No weekend hours"",""address"":""PO Box 9394, Des Moines, IA, 50306-9394""}"
,Advance Auto Parts,Auto Parts,"5008 AIRPORT ROAD, ROANOKE, VA 24012",540-561-6818,ELIZABETH HOANE,54-0118110,"{""name"":""ADVANCE AUTO PARTS, INC. 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Intel,Electronics Manufacturing,"1900 PRAIRIE CITY RD M/S FM1-118, FOLSOM, CA 956309501",800-238-0486,MICHAEL KNUTSON,94-1672743,"{""name"":""INTEL 401(K) SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Aetna,,"151 FARMINGTON AVENUE, REAG, HARTFORD, CT 06156",888-694-7287,CANDACE JODICE,23-2229683,"{""name"":""AETNA 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,Circle K,Convenience Stores,"1130 W. WARNER ROAD, TEMPE, AZ 85284",602-728-4925,KIM BARNES,74-1149540,"{""name"":""CIRCLE K RETIREMENT PLAN"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,ABM Industries,Other Services to Buildings and Dwellings,"14141 SOUTHWEST FREEWAY SUITE 420, SUGAR LAND, TX 77478",888-351-4003,HARRY FISHER,94-1369354,"{""name"":""ABM 401(K) EMPLOYEE SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.benefits.ml.com/login/login"",""phoneNumber"":""1-866-820-1492"",""faxNumber"":""866-994-7807"",""hoursOfOperation"":""Monday - Friday: 9am - 9pm EST, No weekend hours"",""address"":""P.O. Box 29002, Hot Springs, AR, 71903-9002""}"
,Kindred Healthcare,,"680 SOUTH FOURTH ST, LOUISVILLE, KY 40202",502-596-7300,ANDREA ROMISHER,61-1323993,"{""name"":""KINDRED 401 (K) PLAN"",""provider"":"""",""websiteURL"":""https://www.troweprice.com/usis/login/enablement?pdurl=/rws/account/participant/home/overview.otc"",""phoneNumber"":""1-800-922-9945"",""faxNumber"":""410-581-5176"",""hoursOfOperation"":""Monday - Friday: 7am - 10pm EST, Automated voice response system available 24/7"",""address"":""P.O. Box 17215, Baltimore, MD, 21297""}"
,Dell,Electronics Manufacturing,"ONE DELL WAY, RR1-42, ROUND ROCK, TX 78682",512-338-4400,ROBERT POTTS,74-2487834,"{""name"":""DELL INC. 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,The Walt Disney Company,Motion Pictures,"500 SOUTH BUENA VISTA STREET, BURBANK, CA 915217382",818-558-2609,ERIC CHAISSON,95-4545390,"{""name"":""DISNEY HOURLY SAVINGS AND INVESTMENT PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,Deloitte,Offices of Certified Public Accountants,"30 ROCKEFELLER PLAZA, NEW YORK, NY 10112",212-489-1600,,13-5133500,"{""name"":""DELOITTE 401K PLAN"",""provider"":"""",""websiteURL"":""https://retirementplans.vanguard.com/VGApp/pe/PublicHome"",""phoneNumber"":""1-800-523-1188"",""faxNumber"":""484-582-2929"",""hoursOfOperation"":""Monday - Friday: 8:30am - 9pm EST, No weekend hours""}"
,Davita,Kidney Dialysis Centers,"2000 16TH STREET, DENVER, CO 80202",303-876-7403,JULIE WEST,51-0354549,"{""name"":""DAVITA RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://my.voya.com/voyassoui/index.html?target=https%3A%2F%2Fmy.voya.com%2Fmyvoya%2Flogon#/login"",""phoneNumber"":""1-877-269-8758"",""faxNumber"":""800-643-8143"",""hoursOfOperation"":""Monday - Friday: 8am - 8pm EST"",""address"":""P.O. Box 990063, Hartford, CT, 06199""}"
,Universal Health Services,,"367 SOUTH GULPH ROAD, KING OF PRUSSIA, PA 19406",610-768-3300,VIRGINIA CULLINAN,23-2077891,"{""name"":""UNIVERSAL HEALTH SERVICES, INC. RETIREMENT SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,"Robert Half International, Inc.",Employment Placement,"2613 CAMINO RAMON, SAN RAMON, CA 94583",925-913-1000,LESLIE RIFE,94-1648752,"{""name"":""ROBERT HALF INTERNATIONAL INC. 401(K) PLAN"",""provider"":"""",""websiteURL"":""https://nb.fidelity.com/public/nb/default/home"",""phoneNumber"":""800-835-5095"",""faxNumber"":""1-877-330-2476"",""hoursOfOperation"":""Monday - Friday: 8:30am - 12am EST, No weekend hours"",""address"":""PO Box 770002, Cincinatti, OH, 45277-0090""}"
,"Northwell Health, Inc.",,"972 BRUSH HOLLOW ROAD 5TH FLOOR, WESTBURY, NY 115901740",516-734-7000,MICHELE CUSACK,11-3418133,"{""name"":""NORTHWELL HEALTH 403(B) PLAN"",""provider"":"""",""websiteURL"":""https://www.transamerica.com/portal/home/"",""phoneNumber"":""800-755-5801"",""faxNumber"":""833-200-9987"",""hoursOfOperation"":""Monday - Friday: 8am - 9pm EST, No weekend hours"",""address"":""4333 Edgewood Road NE, Cedar Rapids, IA""}"
,Johnson and Johnson,,"ONE JOHNSON AND JOHNSON PLAZA, NEW BRUNSWICK, NJ 08933",732-524-0400,MELISSA FORD,22-1024240,"{""name"":""JOHNSON AND JOHNSON SAVINGS PLAN"",""provider"":"""",""websiteURL"":""https://www.alight.com/find-your-hr-website"",""phoneNumber"":""Each plan has a company-specific phone number found through the Alight 401(k) login link"",""faxNumber"":""Each plan has a company-specific fax number found through the Alight 401(k) login link"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm EST""}"
,Southwest Airlines,,"2702 LOVE FIELD DRIVE, HDQ-6TX, DALLAS, TX 75235",214-792-4000,MICHAEL HAYNES,74-1563240,"{""name"":""SOUTHWEST AIRLINES CO. PROFITSHARING PLAN"",""provider"":"""",""websiteURL"":""http://workplace.schwab.com/"",""phoneNumber"":""800-724-7526"",""faxNumber"":""877-312-3347"",""hoursOfOperation"":""Monday - Friday: 8am - 10pm ET"",""address"":""PO Box 388, Richfield, OH, 44286""}"
